Active Cases,Recoveries,Deaths
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
3,0,0
3,0,0
3,0,0
8,0,0
8,0,0
8,1,0
8,1,0
8,1,0
8,1,0
1,8,0
1,8,0
1,8,0
1,8,0
1,8,0
1,8,0
1,8,0
1,8,0
5,8,0
5,8,0
5,8,0
7,8,0
12,8,0
15,8,0
28,8,0
32,8,0
43,8,0
77,8,0
107,8,0
154,8,1
186,18,2
253,18,2
300,18,3
357,18,7
431,18,7
429,18,9
770,18,10
1094,18,28
1079,18,43
1458,20,65
1817,52,81
2446,65,115
2466,65,158
3724,65,194
4703,65,250
5333,65,285
6226,65,359
7434,135,508
8700,135,694
10646,135,877
13247,135,1161
15499,135,1455
17718,135,1669
19963,135,2043
22590,135,2425
26244,135,3095
29836,135,3747
33572,135,4461
36547,135,5221
41806,135,5865
45040,135,6433
47636,135,7471
52093,135,8505
55334,135,9608
62654,344,10760
67048,344,11599
71650,344,12285
