I,R,D
510,28,17
606,30,18
879,36,26
1353,39,42
2010,52,56
2784,61,82
5340,107,131
5907,126,133
7920,143,171
9492,222,213
11495,284,259
15953,472,362
18832,623,426
22548,852,492
25947,1124,564
28673,1487,634
31661,2011,719
33698,2616,806
36000,3244,906
37803,3946,1013
39006,4683,1113
38953,5150,1118
52702,6295,1371
57304,8058,1523
57969,9395,1666
58589,10865,1770
58807,12583,1868
58777,14352,2007
57396,16121,2122
55773,18177,2247
55678,18890,2251
53228,22886,2458
53095,23394,2469
51705,25227,2629
49793,27905,2708
48234,30384,2770
46655,33277,2814
44529,36711,2872
43288,39782,2941
42657,42716,2996
41619,45602,3085
41452,48228,3160
40696,51170,3254
40745,53796,3347
42482,55865,3459
43932,58358,3558
45327,60694,3801
47115,62493,3987
49957,64403,4263
54263,67002,4614
57772,68323,4912
69566,70250,5409
77667,72621,5832
85003,76031,6473
96417,78085,7151
108356,80837,7957
122740,83309,8824
147728,84957,9947
173439,87402,11423
199781,91674,13125
224315,97881,14826
263209,98333,16759
291296,107982,19017
332260,113768,21789
382803,122131,24788
434576,130896,28292
489967,139396,31811
536152,148816,35323
579073,164300,39443
635606,177768,44234
690484,192845,49681
748119,209916,55828
809145,225359,61820
862750,245697,67989
917105,259568,73070
966601,276079,78756
1010191,299599,86648
1058644,328248,93340
1111668,353534,100900
1174666,375473,108122
1220771,401489,114152
1294219,421091,119835
1331584,448041,125540
1369801,473349,132416
1405203,509885,140660
1463456,540792,147933
1516234,566965,156791
1563511,590919,163206
1610541,622507,167739
1654513,644508,173088
1689491,679355,180200
1728240,709496,186872
1776350,738430,193623
1807197,788580,199954
1858600,816400,206140
1900203,844980,209850
1936663,872672,214387
1970536,905950,220743
1997262,947420,227605
2010733,1012881,233296
2055597,1051410,238551
2091711,1092132,243741
2135113,1124231,247385
2172958,1158650,251447
2210789,1194758,257144
2250979,1241339,263751
2296487,1279770,269461
2346196,1317079,274789
2374160,1370653,279196
2415101,1404009,282589
2440056,1451238,286208
2481489,1488443,291815
2506377,1543576,297065
2556959,1582922,302282
2602738,1632096,307513
2634229,1688226,311613
2669612,1728992,315016
2701731,1781904,318308
2740361,1834024,323107
2776049,1892495,327928
2825925,1943768,332731
2821115,2052013,338028
2861132,2107891,341997
2899181,2163592,344840
2922282,2226767,346012
2957409,2281985,350232
2991272,2345117,355401
3037884,2410989,360073
3077465,2488564,364752
3130418,2559722,368877
3158810,2636358,371778
3199536,2691038,375278
3203883,2794375,379979
3248857,2874125,385653
3297860,2944289,390836
3356215,3013132,395571
3405989,3085833,399391
